Preciso que enviem os documentos pendentes para concluir meu cadastro.,produtivo
Quero atualizar o endereço no sistema. Podem me orientar?,produtivo
Favor enviar o contrato em PDF para assinatura.,produtivo
Poderiam confirmar o recebimento do pagamento de ontem?,produtivo
Preciso reagendar minha reunião para amanhã às 14h.,produtivo
Solicito o relatório atualizado referente ao mês.,produtivo
Podem verificar por que minha conta está bloqueada?,produtivo
Gostaria de saber o prazo para conclusão do processo.,produtivo
Enviem por favor a segunda via da fatura.,produtivo
Podem liberar meu acesso ao portal novamente?,produtivo
Preciso que revisem os valores cobrados na última nota.,produtivo
Peço que me enviem o comprovante de entrega.,produtivo
Solicito atualização do status da minha solicitação.,produtivo
Podem incluir meu CPF no cadastro?,produtivo
Solicito orçamento detalhado dos serviços.,produtivo
Favor confirmar a reunião de amanhã às 9h.,produtivo
Podem abrir um chamado para suporte técnico?,produtivo
Peço o envio do protocolo de atendimento.,produtivo
Gostaria de alterar o plano contratado.,produtivo
Enviem os documentos pendentes para finalizar minha análise.,produtivo
Estou apenas passando para agradecer!,improdutivo
Bom dia, tudo bem por aí?,improdutivo
Quero parabenizar a equipe pelo ótimo trabalho!,improdutivo
Desejo a todos um excelente fim de semana.,improdutivo
Obrigado pela atenção de sempre!,improdutivo
Olá, só conferindo se receberam meu último e-mail.,improdutivo
Oi, tudo tranquilo?,improdutivo
Enviei um material ontem, viu?,improdutivo
Somente para lembrar que estou disponível.,improdutivo
Apenas dizendo que gostei muito do atendimento.,improdutivo
Gostaria de saber como vocês estão.,improdutivo
Vi que vocês têm novidades por aí!,improdutivo
Queria compartilhar uma atualização pessoal.,improdutivo
Fiquei feliz com o contato!,improdutivo
Espero que estejam todos bem.,improdutivo
Feliz ano novo para toda equipe!,improdutivo
Estou acompanhando as notícias.,improdutivo
Alguma novidade por aí?,improdutivo
Bom dia apenas!,improdutivo
Passando pra dar um oi!,improdutivo
